segment_id,n_intervals,modal_tick,grid_rate,effective_rate,rate_ratio,predicted_skip,observed_skip,n_gaps,category
PPDmUg-20260805-161849,1979,6030,14.9254,16.4734,0.906028,,189,3,no_skip_predicted
PPDmUg-20260805-162050,1799,6030,14.9254,14.9917,0.995578,,,1,no_skip_predicted
PPDmUg-20260805-162251,1799,6030,14.9254,15.0,0.995022,,,0,no_skip_predicted
PPDmUg-20260805-162451,451,6030,14.9254,14.9338,0.999437,,,1,no_skip_predicted
PPDmUg-20260805-162627,1830,6030,14.9254,15.0,0.995025,,,1,no_skip_predicted
PPDmUg-20260805-162827,1888,6030,14.9254,15.8213,0.943374,,15,5,no_skip_predicted
PPDmUg-20260805-163027,1679,6030,14.9254,14.1648,1.053692,18.62,2,93,skip_predicted
PPDmUg-20260805-163225,1183,6030,14.9254,14.9874,0.995862,,,1,no_skip_predicted
PPDmUg-20260805-163521,1749,6030,14.9254,14.3517,1.039972,25.02,3,80,skip_predicted
PPDmUg-20260805-163723,376,6030,14.9254,14.9998,0.995038,,,0,no_skip_predicted
PPDmUg-20260807-101924,336,6030,14.9254,15.0,0.995025,,,1,no_skip_predicted
